Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
 Yuliya SMIRNOVA,29/03/1985,RUS,athlete,F,,,12/07/2015,4 years ineligibility,31/05/2020,12.07.15,No,Doping,"Presence,Use",Furosemide,"In competition test,    10 km des Mascarets Pont Audemer, FRA"
 Tiaan SMIT,14/03/1995,RSA,athlete,F,,Sprints (400m or less),22/04/2017,4 years ineligibility,24/05/2021,22.04.17,No,Doping,"Presence,Use",Clenbuterol,"In competition test,    SA Athletics Championship , RSA"
 Jyoti SNGH,22/10/1996,IND,athlete,F,,Long Distance (3000m+),24/02/2019,4 years ineligibility,13/05/2023,Since 24.02.19,No,Doping,"Presence,Use",Norandrosterone,"In competition test, IDBI New Delhi Marathon, New Delhi, IND"
 Jiani SONG,,CHN,athlete,F,,Sprints (400m or less),,4 years ineligibility,19/09/2022,Since 20.09.18,No,Doping,"Presence,Use",Metandienone,"In competition test, '13th Games of Liao Ning', Liao Ning, CHN"
 Anastasiya SOPRUNOVA,14/01/1986,KAZ,athlete,M,,Sprints (400m or less),31/01/2016,4 years ineligibility,29/02/2020,Since 31.01.16,No,Doping,"Presence,Use",Stanozolol,"In competition test, Kazakh Indoor Championships , Oskemen, KAZ"
 D. SREEKANTH,09/05/1996,IND,athlete,M,,Sprints (400m or less),15/05/2017,4 years ineligibility.,16/07/2021,Since 15.05.17,No,Doping,"Presence,Use",Metandienone,"In competition test,  3rd Indian Grand Prix , New Delhi, IND"
 K.M. SREEKANTH,18/05/2001,IND,athlete,M,Long Jump,Jumps,21/10/2017,4 years ineligibility,26/11/2021,Since 21.10.17,No,Doping,"Presence,Use",Heptaminol,"61st Kerala State School Athletics Championships , Kottayam, IND"
 Soufiane SSALHI,,MAR,athlete,M,,Middle Distance (800m-1500m),,4 years ineligibility,14/08/2022,Since 24.06.18,No,Non-Doping,"Presence,Use",Stanzolol,"In competition test, 'Meeting Federal Martil, Martil, MAR"
 Aleksandra STEPANOVA,14/11/1994,RUS,athlete,F,,Sprints (400m or less),08/04/2019,4 years ineligibility,05/05/2023,Since 08.04.19,No,Doping,"Presence,Use",Oxandrolone,"Out-of-competition test, Tamga, KYR"
 Raymond STEWART,18/03/1965,USA,athlete support personn el,M,,Athlete Support Personnel,01/01/2004,Lifetime ban,,NA,Yes,Doping,"Trafficking,Ad ministration","Trafficking or Attempted Trafficking in any Prohibted Substance or Prohibited Method, Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method",Administration (IAAF Rule 32.2.h) Trafficking (IAAF Rule 32.2.g)
 Michele STINGONE,09/08/1991,ITA,athlete,M,,Long Distance (3000m+),28/05/2017,4 years ineligibility,22/01/2022,Since 28.05.17,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal,"Art. 2.3 ADR - Evading, Refusing or Failing to Submit to Sample Collection"
 Radostina STOYANOVA,28/04/1995,BUL,athlete,F,,Sprints (400m or less),04/08/2018,4 years ineligibility,29/08/2022,Since 04-08-18,No,Doping,Presence,Use,Dehydrochloromethyltestos terone,"In competition test, 'Kessel-Lo Meeting Voor Mon', Leuven, BEL"
 Yuliya STUPINA,19/07/1998,RUS,athlete,F,,Sprints (400m or less),21/02/2018,4 years ineligibility,14/03/2022,Since 21.02.18,No,Doping,Presence,Use,Oxandrolone and Tuaminoheptane,"In competition test, Russian U23 Indoor Championships , Saint Petersburg, RUS"
 Ciai SU,16/11/2001,CHN,athlete,F,,Long Distance (3000m+),19/11/2017,4 years ineligibility,04/12/2021,Since 19.11.17,No,Doping,Evasion,Refusa l and or Failure to Submit",Refusal,"In competition test,  Jiujiang international Half-Marathon , Jiujang, CHN"
 Guanzhong SU,26/01/1999,CHN,athlete,M,,Throws,12/01/2019,4 years ineligibility,20/02/2023,Since 12.01.19,No,Doping,"Presence, Use",Stanozolol,"In competition test, Enrollment Examination Peking University D, Beijing, CHN"
 Xueting SU,24/03/1997,CHN,athlete,F,,Long Distance (3000m+),19/11/2017,8 years ineligibility,02/06/2026,Since 19.11.17,No,Doping,Presence,Use, Evasion,Refusa l and or Failure to Submit",Evading sample collection,"In competition test, Juijiang International Half-Marathon , Juijiang, CHN"
 Jemima Jelagat SUMGONG,21/12/1984,KEN,athlete,F,Marathon,Long Distance (3000m+),28/02/2017,8 years ineligibility,16/01/2027,Since 28.02.17,No,Doping,"Presence,Use, Tampering",EPO; Tampering (production of forged medical document in the context of her disciplinary proceedings),"Out-of-competition test, Kapsabet, KEN"
 Olesya SVIRIDOVA,28/10/1989,RUS,athlete,F,Shot Put,Throws,27/05/2016,8 years ineligibility,13/06/2024,Since 27.05.16,No,Doping,Presence,Use, Violation of the Prohibition of Participation During Ineligibility",Norandrosterone and Participation during ineligibility,"In competition test, Khabarovsk championship, Adler, RUS"
 Olesya SYREVA,25/11/1983,RUS,athlete,F,,Middle Distance (800m-1500m),27/11/2015,8 years ineligibility,10/01/2024,Since 27.11.15,No,Doping,Presence,Use,Metenolone,"Out-of competition test, Omsk, RUS"
 Kateryna TABASHNYK,15/06/1994,UKR,athlete,F,High Jump,Jumps,28/03/2019,19 months ineligibility,27/10/2020,Since 28.03.19,No,Doping,Presence,Use,Hydrochlorothiazide,"Out-of-competition test, Antalya, TUR"
 Mouna TABSART,07/04/1987,MAR,athlete,F,Cross Country,Long Distance (3000m+),16/02/2014,8 years ineligibility,06/04/2022,Since and including that of 16.02.14,No,Doping,"Presence,Use",Mesterolone,"In competition test, Cross Federal , El Hajeb, MAR"
 Abdellah TAGHARRAFET,01/01/1985,MAR,athlete,M,,Long Distance,01/09/2009,4 years,27/09/2020,From 09.04.11,No,Doping,Use,Athlete Biological Passport,IAAF rule 32.2.b  - Use or Attempted
 Purity Jerono TALAM,,KEN,athlete,F,,Long Distance (3000m+),,4 years ineligibility,04/02/2022,Since 19.11.17,No,Non-Doping,"Presence,Use",Oxandrolone,"In competition test, 'Fangchenggand Sportstown 2017 China-Asean International', Fangchenggand, CHN"
 Meseret TAYE,22/04/1990,ETH,athlete,F,,Long Distance (3000m+),17/09/2017,4 years ineligibility,14/11/2021,Since 17.09.17,No,Doping,"Presence,Use",Testosterone,"In competition test, Sanlam Cape Town Marathon , Cape Town, RSA"
 Lada TCHERNOVA,01/01/1970,RUS,athlete,F,Javelin,Throws,29/02/2012,Lifetime ban as from 12.03.12,,Since and including that of 29.02.12,Yes,Doping,"Presence,Use",Bromantan,"In competition test, Russian Cup, Adler, RUS"
 Jurgen TEICHTMEISTER,,AUT,athlete,M,,Long Distance (3000m+),28/04/2016,4 years ineligibility,20/07/2023,Since 28.04.16,No,Doping,"Use,Possessio n","Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method, Possession of a Prohibited Substance or a Prohibited Method","IAAF Rule 32.2(b) Use of a prohibited substance
IAAF Rule 32.2(f) Possession of a prohibited substance"
 Olga TERESHKOVA (TSYKUNOVA),26/10/1984,KAZ,athlete,F,400m,Sprints (400m or less),19/03/2014,Lifetime ban,,Since 19.03.14,Yes,Doping,"Presence,Use",Methyltestosterone,"Out-of-competition test, Bostyri, KGZ"
 Zwane THANDAZA,01/12/1992,SWZ,athlete,M,,Sprints (400m or less),25/05/2019,4 years ineligibility,16/07/2023,Since 25.05.19,No,Doping,"Presence,Use",GW51516,"Out-of-competition test, Manzini, SWZ"
 Maria THOMPSON OMOKWE,13/12/1999,NGR,athlete,F,200m,Sprints (400m or less),07/12/2017,4 years ineligibility,06/12/2021,Since 07/12/2017,No,Doping,"Presence,Use","1-Testosterone,  Arimistane","In competition test,  Nigerian Commonwealth Games Trials , Abuja, NGR"
 Haile TOLOSSA (BEKUMA),14/03/1990,ETH,athlete,M,,Long Distance (3000m+),15/05/2016,4 years ineligibility,14/05/2020,Since 15.05.16,No,Doping,"Presence,Use",Cocaine metabolites,"In competition,    Maraton Movistar 2016, Lima, PER"
 Gianluca TONETTI,,ITA,athlete,M,,Long Distance (3000m+),,4 years ineligibility,04/09/2022,Since 15.04.18,No,Non-Doping,"Presence,Use",Triamcinolone Acetonide,"In competition test, 100km Italian championship, Luogo, ITA"
 Lazarus TOO,09/12/1990,KEN,athlete,M,,Long Distance (3000m+),04/12/2016,2 years ineligibility,06/07/2020,Since 04.12.16,No,Doping,"Presence,Use",Furosemide,"In competition test, Baoan Shenzhen International Marathon, Shenzen, CHN"
 Petr TROFIMOV,28/11/1983,RUS,athlete,M,Race Walk,Long Distance (3000m+),13/08/2009,4 years ineligibility,22/12/2020,13.08.09-18.05.13,No,Doping,Use,Athlete Biological Passport,IAAF rule 32.2.b - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Nigina TUKHTAYEVA,19/01/1993,RUS,athlete,F,,Middle Distance (800m-1500m),20/01/2019,2 years ineligibility,07/02/2021,Since 20.01.19,No,Doping,"Presence,Use",Methylhexaneamine,"In competition test, Ural region championship, Chelyabinsk, RUS"
 Omer TUNCER,03/09/1996,TUR,athlete,M,,Long Distance (3000m+),16/11/2016,4 years ineligibility,04/07/2021,Since 16.11.16,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Darya TVOROGOVA,14/06/2003,RUS,athlete,F,,Sprints (400m or less),26/01/2018,2 years ineligibility,03/06/2020,Since 26.01.18,No,Doping,"Presence,Use",Meldonium,"Out-of-competition test, Irkutsk, RUS"
 Binnaz USLU,12/03/1985,TUR,athlete,F,,Long Distance (3000m+),30/08/2011,Lifetime ban,,Since 30-08-11,Yes,Doping,"Presence,Use",Stanozolol,"In competition test, IAAF World Athletics Championships , Daegu, KOR"
 Mauricio VALDIVA,11/10/1989,CHI,athlete,M,,Middle Distance (800m-1500m),26/02/2016,4 years ineligibility,01/05/2020,From 26.02.16,No,Doping,"Presence,Use",CERA,"In competition, in Villa de Madrid International Indoor Athletics Meet , Madrid, ESP"
 Simone VAN DER NEST,02/01/1998,RSA,athlete,F,,Sprints (400m or less),07/04/2017,4 years ineligibility,23/05/2021,From 07.05.17,No,Doping,"Presence,Use",Metenolone,"In competition test,    South African U20/U18 Championships , Cape Town, RSA"
Andrei VARANTSOU,24/07/1975,BLR,athlete,M,Hammer,Throws,09/10/2013,Lifetime ban,,Since and including that of 09.10.13,Yes,Doping,"Presence,Use",Dehydrochloromethyltestos terone,Out of competition test
 Svetlana VASILYEVA,24/07/1992,RUS,athlete,F,Race Walk,Long Distance (3000m+),,4 years ineligibility,12/12/2020,"From18.10.11to
14.07.13 and from
24.05.16 to 12.12.16",No,Doping,Use,Athlete Biological Passport,IAAF rule 32.2.b- Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Nikolai VEDEHIN,09/10/1985,EST,athlete,M,3000m,Long Distance (3000m+),24/06/2016,8 years ineligibility,22/03/2025,-,No,Doping,Possession,Possession of a Prohibited Substance or Prohibited Method,IAAF Rule 32.2. (f) - Possession
 Innis VIVIERS,,RSA,athlete,M,,,11/02/2005,Lifetime ban (2nd ADRV),,-,Yes,Doping,"Presence,Use",Stanozolol,"Out of competition, RSA"
 Valeriy VOLKOV,26/07/1947,RUS,athlete support personn el,M,,Athlete Support Personnel,08/07/2009,4 years ineligibility,03/08/2021,NA,No,Doping,Complicity,Complicity,IAAF 32.2.e - Complicity
 Pavel VRUCHINSKIY,07/04/1992,RUS,athlete,M,,Sprints (400m or less),04/04/2019,4 years ineligibility,18/04/2023,Since 04-04-19,No,Doping,"Presence,Use",Oxandrolone,"Out-of-competition test, Moscow, RUS"
 Hanchen WAN,,CHN,athlete,M,,Jumps,,2 years ineligibility,19/04/2020,Since 19.04.20,No,Non-Doping,"Presence,Use",Prednisolone,"In competition test, Zhuzhou, CHN"
 Jiali WANG,01/02/1986,CHN,athlete,F,,Long Distance (3000m+),09/08/2017,8 years ineligibility (2nd ADRV),30/08/2025,Since 09.08.17,No,Doping,"Presence,Use",EPO,"Out-of-competition test, Hebei, CHN"
 Lucy Kabuu WANGUI,24/03/1984,KEN,athlete,F,Marathon,Long Distance (3000m+),08/04/2018,2 years ineligibility,31/07/2020,Since 08/04/2018,No,Doping,"Presence,Use",Morphine,"In competition test, EA7 Emporio Armani Milano Marathon , Milan, ITA"
 Eliudmatu WERU,14/01/1986,KEN,athlete,M,,Long Distance (3000m+),05/11/2017,2 years ineligibility,19/06/2020,Since 05.11.17,No,Doping,"Presence,Use",Higenamine,"In competition test, Pizhou Half- Marathon , in Pizhou, CHN"
 Atlanta WESTBROOK,07/11/1992,USA,athlete,F,Triple Jump,Jumps,01/08/2015,4 years ineligibility,30/10/2021,-,No,Doping,"Use,Possessio n",Possession of a Prohibited Substance or a Prohibited Method and Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method,"IAAF rule 32.2.b - Use
IAAF Rule 32.2.f   - Possession"
 Briana WILLIAMS,21/03/2002,JAM,athlete,F,100m,Sprints (400m or less),21/06/2019,No Significant Fault or Negligence,,"On 20.06.19 and
21.06.19",No,Doping,"Presence,Use",Hydrochlorothiazide,"In competition test, Supreme Ventures National Senior and Junior championships, Kingston, JAM"
 Verushka WOEST,11/01/2001,RSA,athlete,F,,Sprints (400m or less),07/04/2017,4 years ineligibility,24/05/2021,"In competition, in South African U20/U18
Championships , Cape Town, RSA",No,Doping,"Presence,Use","Metenolone, Oxandrolone",IAAF Rule 32.2.f   - Possession
 Vanesa Luciana WOHLGERNUTH,12/10/1976,ARG,athlete,F,,Sprints (400m or less),30/10/2016,4 years ineligibility,14/03/2021,Since 30.10.16,No,Doping,"Presence,Use",Drostanolone,"In competition test, 26a Copa Nacional de Clubes Mayores , Buenos Aires, ARG"
 Eyob Alemu WOLDEGGLORGIS,23/03/1982,ETH,athlete,M,,Long Distance (3000m+),29/10/2017,4 years ineligibility,04/02/2022,Since 29.10.17,No,Doping,Use,EPO,"In competition test, 'Longkou International Marathon , Longkou, CHN"
 Chunlan WU,22/02/2000,CHN,athlete,F,,Sprints (400m or less),26/07/2017,4 years ineligibility,26/07/2021,Since 26.07.17,No,Doping,"Presence,Use",Metandienone,IAAF Rule 32.2.f - Possession
 Shuijiao WU,,CHN,athlete,F,,Sprints (400m or less),,4 years ineligibility,30/07/2022,Since 07.06.18,No,Doping,"Presence,Use",Norandrosterone,"OOC, Zhuhai, CHN"
 Yuyao XIE,,CHN,athlete,F,,Sprints (400m or less),,4 years ineligibility,29/09/2022,Since 23.08.18,No,Doping,"Presence,Use",Metandienone,"In competition test, '13th Games of Liao Ning', Liao Ning, CHN"
 Wenhao XU,06/11/2001,CHN,athlete,M,,Long Distance (3000m+),15/10/2018,4 years ineligibility,17/10/2022,Since 15-10-18,No,Doping,"Presence,Use",EPO,"In competition test, 24th Shandong Games', Qingdao, CHN"
 Gaurav YADAV,12/01/1997,IND,athlete,M,Javelin,Throws,25/05/2016,4 years ineligibility,11/07/2020,Since 25.5.16,No,Doping,"Presence,Use",Norandrosterone,"Out of competition test, Patiala, IND"
 Xinli YANG,07/02/1988,CHN,athlete,F,,Throws,03/09/2017,4 years ineligibility,07/09/2021,Since 03.09.17,No,Doping,"Presence,Use",Stanozolol,"In competition,    Tianjin National Games , Tianjin, CHN"
 Yaodong YANG,,CHN,athlete,M,,Sprints (400m or less),,4 years ineligibility,12/09/2022,Since 19.08.18,No,Doping,"Presence,Use",Metandienone,"In competition test, '16th provincial games of Shaanxi province', Xianyang, CHN"
 Yidi YANG,22/03/1999,CHN,athlete,F,,Throws,28/07/2016,4 years ineligibility,27/07/2020,28.07.16,No,Doping,"Presence,Use",Metandienone,"In competition, in High School Athletics Competition, CHN"
 Romain YARKO,06/11/1989,UKR,athlete,M,,Middle Distance (800m-1500m),06/05/2017,4 years ineligibility,06/05/2021,-,No,Doping,"Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection",IAAF Rule 32.2.c  - Refusal
 Jepkurui YATICH Caroline,,KEN,athlete,F,,Long Distance (3000m+),,4 years ineligibility,03/11/2021,Since 04.11.17,No,Non-Doping,"Presence,Use",Norandrosterone,"In competition test, 'Xichang Marathon', Xichang, CHN"
 Hillary Kipkosgei YEGO,,KEN,athlete,M,,Long Distance (3000m+),,4 years ineligibility,26/04/2021,Since 19.03.17,No,Non-Doping,"Presence,Use",Norandrosterone,"In competition test, 'New Taipei City Wan Jin Shi Marathon', Taipei TPE"
 Kseniya YELIZOVA,27/07/1996,RUS,athlete,F,,Sprints (400m or less),10/08/2019,2 years ineligibility,27/08/2021,Since 10.08.19,No,Doping,"Presence,Use",Heptaminol,"In competition test, All-Russian competition Memorial of the Irkutsk athletes, Irkutsk, RUS"
 Riza YETIS,,TUR,athlete,M,,,01/11/2014,Lifetime ban from 27/11/2014,,-,Yes,Doping,"Trafficking,Ad ministration",Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method // Trafficking or Attempted Trafficking in any Prohibted Substance or Prohibited Method,"IAAF Rule 32.2.h- Administration of a prohibited substance
IAAF Rule 32.2.g - Trafficking"
 Jason YOUNG,27/05/1981,USA,athlete,M,Discus,Throws,24/01/2013,4 years ineligibility,16/11/2020,Since 24.1.13,No,Doping,"Use,Possessio n","Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method, Possession of a Prohibited Substance or a Prohibited Method","IAAF Rule 32.2(b) Use of a prohibited substance
IAAF Rule 32.2(f) Possession of a prohibited substance"
 Jerome YOUNG,14/08/1976,USA,athlete,M,400m,Sprints (400m or less),23/07/2004,Lifetime ban (2nd ADRV),,Since 23.07-04,Yes,Doping,"Presence,Use",EPO,"In competition test, 'Meeting IAAF Gaz de France', Paris, FRA"
 Ivan YUSHKOV,,RUS,athlete,M,Shot Put,Throws,,4 years ineligibility,01/07/2020,"from 16.07.12 to
02.07.16",No,Doping,"Presence,Use",Dehydrochlormethyltestost erone; Use,"(Retesting) In competition test, Olympic Games in Beijing, CHN; McLaren evidence"
 Jaouad ZAIN,24/11/1984,MAR,athlete,M,,Long Distance (3000m+),29/11/2015,4 years ineligibility,09/10/2020,Since 29.11.15,No,Doping,"Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection","IAAF Rule 32.2. (c)  - Refusal to submit to an in competition doping control, Corsa dell Angelo , Monte Comptri, ITA"
  Despoina ZAPOUNIDOU,05/10/1985,GRE,athlete,F,Race Walk,Long Distance (3000m+),11/08/2017,4 years ineligibility,22/08/2021,Since 11.08.17,No,Doping,"Presence,Use",EPO,"Out-of-competition test, London, GBR"
 Olha ZEMLYAK,16/01/1990,UKR,athlete,F,200m,Sprints (400m or less),05/07/2016,8 years ineligibility,04/07/2024,Since 05.07.16,No,Doping,Use,Use of Testosterone,
 Lin ZHANG,23/12/1993,CHN,athlete,M,,Long Distance (3000m+),21/05/2017,8 years ineligibility,03/12/2027,Since 21.05.17,No,Doping,"Presence,Use",Clostebol,"Out-of-competition test, Henan, CHN and Out-of-competition test, Beijing, CHN"
 Tengyue ZHANG,17/03/2002,CHN,athlete,F,,Sprints (400m or less),,4 years ineligibility,29/09/2022,Since 23.08.18,No,Doping,"Presence,Use",Metandienone,"In competition test, '13th Games of Liao Ning', Liao Ning, CHN"
 Yingying ZHANG,04/01/1990,CHN,athlete,F,,Long Distance (3000m+),16/04/2017,4 years ineligibility,04/05/2021,From 16.04.17,No,Doping,"Presence,Use",Furosemide,"Out competition, in GUIZHOU, CHN"
 Nenad ZIVKOVIC,03/02/1987,SRB,athlete,M,,Long Distance (3000m+),17/11/2019,2 years ineligibility,12/12/2021,Since 17.11.19,No,Doping,"Presence,Use","Methylhexaneamine, Tuaminoheptane","In competition test, Balkan Marathon Championships, Belgrade, SRB"
 Oleksandr ZOBENKO,01/03/1996,UKR,athlete,M,,Sprints (400m or less),07/07/2018,4 years ineligibility,22/10/2022,Since 07-07-18,No,Doping,"Presence,Use","Metandienone, Dehydrochloromethyltestos terone","Out of competition, Baghdad, IRQ"
